competent | 형. 유능한 
available | 형. 가능한 
evaluation | 평가서 
performance | 실적, 업적; 공연, 연주 
extensive | 형. 광범위한, 폭넓은 
experience | 경험; 경험하다 
dialogue | 대화
resolve | 해결하다
conference | 회의
attend | 참석하다
detailed | 형. 상세한
review | 검토하다; 검토 
material | 자료
confirmation | 확인, 확정 
carry | 소지하다 
publication | 출판, 발행
despite | 전. ~에도 불구하고
land | 도착하다
allowance | 수당, 비용 
unveil | 공개하다, 발표하다 
expension | 확장
rate | 비율, 요금
furnish | 설치하다
venue | 장소
annual | 형. 연간의, 연례의 
fund-rasing | 모금
prominent | 형. 저명한, 유명한
accommodate | 수용하다, 편의를 도모하다
take place | 발생하다, 열리다
post | 게시하다
free to | 자유롭게 ~하다 
inquire | 타. 문의하다; 자. 묻다; 조사하다
progress | 진척; 진행하다, 나아가다 
prior to | 전. ~에 앞서, 먼저
in response to | 전. ~에 부응하여
adjustment | 조정, 조절, 수정 
leave | 휴가 
supervisor | 감독자, 관리자, 상관 
absence | 결석, 부재, 결근 
requirement | 요구, 필요, 필수 조건, 요건 
reumburse | 타. 상환하다, 환불하다
alternatively | 부. 대안으로, 그렇지 않으면
perfer | 타. 선호하다
promote | 홍보하다 
guarantee | 보장하다, 보증하다
arrange | 준비하다, 마련하다
proper | 형. 적절한, 적당한, 알맞은 
injured | 부상을 입히다 
beneficial | 형. 유익한, 이로운
benefit | 혜택, 이익; 유익하다 
different | 형. 다른, 차이가 나는 
differ | 자. 다르다
difference | 차이, 다름 
transferable | 형. 양도할 수 있는
advisable | 형. 현명한, 조심스러운
tenant | 세입자, 임차인, 입주자 
renovate | 개조하다, 보수하다
in charge of | ~을 담당하다
seek | ~하려고 하다, 찾다, 구하다
present | 제시하다, 보여주다; 현재의, 현존하는
innovative | 형. 혁신적인, 새로운
withdraw | 타. 철수시키다; 자. 철수하다, 물러나다
