an opening | 공석, 결원; 개장, 개시
vacancy | 공석, 결원
payroll | 급여 명부
be admitted to | ~에 입장이 허용되다
qualified | 형. 자격이 있는, 적격의 
diligence | 근면, 성실 
entitle | 자격을 주다, ~할 자격이 있다
apprehensive | 형. 걱정하는, 염려하는
concerned | 형. 걱정하는, 염려하는
accupant | 임차인, 점유자 
on the payroll | 고용되어 
fair | 형. 공정한, 타당한 
proficiency | 숙달, 능숙
appeal | 관심을 끌다, 매력적이다 
require | 요구하다, 필요로 하다
a requirement of / for | ~의 필요조건 
requirement | 필요조건, 요건
prerequisite | 필요조건
meet one's need | ~의 요구를 만족시키다 
proficient | 형. 숙달한, 능숙한
in confidence | 비밀로
list | 명부, 명단, 목록; 목록에 기입하다 
associate | 연관시키다, 관련시키다
hire | 고용하다, 채용하다
prospective | 형. 장래의, 예상되는, 미래의
consult with | ~와 상의하다, 의논하다
condition | 조건, 상태
be qualified for | ~에 자격이 있다 
consult | 상담하다 
professional | 형. 전문적인, 직업의; 전문가 
specialize | ~을 전공하다, 전문적으로 다루다 
compensation | 보상, 보수
aptitude | 재능, 소질
interview | 면접; 면접을 보다
executive | 임원, 경영진
be aware of | ~을 알다 
be responsive to | ~에 대응하다 
be responsible for | ~에 책임이 있다
be eligible for | ~할 자격이 있다 
be dedicated to | ~에 헌신하다, ~에 전념하다 
be concerned about | ~에 대해 걱정하다
be advantageous for | ~에게 이롭다 
be located at | ~에 위치하다
be honored for | ~으로 상을 받다
be comparable to | ~에 필적하다
